Metric,precision,recall,f1-score,support
 action ,0.4726890756302521,0.3424657534246575,0.3971756398940865,1314.0
 adult ,0.613882863340564,0.47966101694915253,0.538534728829686,590.0
 adventure ,0.3961038961038961,0.2361290322580645,0.29587712206952305,775.0
 animation ,0.34563758389261745,0.20682730923694778,0.25879396984924624,498.0
 biography ,0.078125,0.01893939393939394,0.03048780487804878,264.0
 comedy ,0.5406820794482053,0.5684931506849316,0.5542389525368249,7446.0
 crime ,0.23876404494382023,0.16831683168316833,0.19744483159117304,505.0
 documentary ,0.71040229492521,0.7942119731215639,0.7499729603057288,13096.0
 drama ,0.569894419306184,0.6939465177784307,0.6258323119223507,13612.0
 family ,0.33651551312649164,0.18007662835249041,0.23460898502495842,783.0
 fantasy ,0.24193548387096775,0.13975155279503104,0.17716535433070865,322.0
 game-show ,0.7558139534883721,0.6735751295336787,0.7123287671232876,193.0
 history ,0.15053763440860216,0.05761316872427984,0.08333333333333333,243.0
 horror ,0.6738572162300975,0.5952813067150635,0.6321368344977114,2204.0
 music ,0.6075757575757575,0.5485636114911081,0.5765636232925953,731.0
 musical ,0.26666666666666666,0.15942028985507245,0.19954648526077098,276.0
 mystery ,0.2,0.09433962264150944,0.1282051282051282,318.0
 news ,0.4111111111111111,0.20441988950276244,0.2730627306273063,181.0
 reality-tv ,0.48073394495412847,0.29671574178935445,0.36694677871148457,883.0
 romance ,0.2936708860759494,0.17261904761904762,0.21743205248359887,672.0
 sci-fi ,0.5093632958801498,0.42105263157894735,0.4610169491525424,646.0
 short ,0.411590524534687,0.3836750788643533,0.39714285714285713,5072.0
 sport ,0.5504087193460491,0.46867749419953597,0.506265664160401,431.0
 talk-show ,0.47194719471947194,0.3657289002557545,0.41210374639769454,391.0
 thriller ,0.341645885286783,0.17232704402515722,0.22909698996655517,1590.0
 war ,0.4095238095238095,0.32575757575757575,0.3628691983122363,132.0
 western ,0.9067702552719201,0.7916666666666666,0.8453181583031557,1032.0
accuracy,0.5796678966789668,0.5796678966789668,0.5796678966789668,0.5796678966789668
macro avg,0.4439203373948801,0.35408342072013704,0.3875371095630738,54200.0
weighted avg,0.5599341407000893,0.5796678966789668,0.5641598742411222,54200.0
